full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Badr Banoun,26,749343600,Botola Pro,2019/2020,Defender,Raja Casablanca,839,209,630,Morocco,10,2,7,0,0,0,0,0,0,0,0,4,1,3,8,2,6,3,0,0,0,0,0,0,0,0.86,105,84,280,0,0.32,151,26,60,29
Badr Gaddarine,22,877302000,Botola Pro,2019/2020,Midfielder,Wydad Casablanca,700,370,330,Morocco,12,4,4,1,0,1,0,0,0,0,0,3,1,2,7,4,3,1,0,0.13,0,0.13,0,0.27,700,0.9,100,58,700,0,0.13,81,156,-1,13
Badredine Benachour,25,778978800,Botola Pro,2019/2020,Goalkeeper,Wydad Casablanca,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bahim El Gnaoui,32,570153600,Botola Pro,2019/2020,Midfielder,Olympic Safi,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bakary Mané,26,772585200,Botola Pro,2019/2020,Defender,Hassania Agadir,1278,720,558,Senegal,15,8,6,0,0,0,0,0,0,0,0,2,1,1,17,9,8,2,0,0,0,0,0,0,0,1.2,75,85,639,0,0.14,266,49,93,24
Bakary N'Diaye,21,912038400,Botola Pro,2019/2020,Defender,Difaâ El Jadida,601,241,360,Mauritania,8,3,4,0,0,0,0,0,0,0,0,3,2,1,4,1,3,2,0,0,0,0,0,0,0,0.6,150,75,301,0,0.3,210,76,23,25
Bakr El Helali,33,553388400,Botola Pro,2019/2020,Midfielder,RSB Berkane,842,403,439,Morocco,12,4,6,0,0,0,0,0,0,0,0,6,2,4,6,4,2,3,1,0,0,0,0,0,0,0.64,140,70,281,0,0.32,288,11,-1,21
Ben Malango Ngita,26,752889600,Botola Pro,2019/2020,Forward,Raja Casablanca,704,231,473,Congo DR,11,1,6,4,1,3,0,0,0,0,0,4,2,2,9,4,5,0,0,0.51,0,0.51,0.39,0.57,176,1.15,78,64,0,0,0,9,79,-1,3
Bi Ya Thomas Renardo Gonazo,29,662515200,Botola Pro,2019/2020,Forward,Raja Beni Mellal,562,309,253,Côte d'Ivoire,10,3,3,1,1,0,0,0,0,0,0,3,3,0,8,3,5,3,1,0.16,0,0.16,0.29,0,562,1.28,70,56,187,0,0.48,68,80,-1,4
Bilal El Megri,31,614127600,Botola Pro,2019/2020,Forward,Difaâ El Jadida,291,162,129,Morocco,9,1,1,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,265,69,-1,21
Bilal Soufi,31,592786800,Botola Pro,2019/2020,Midfielder,Khouribga,67,0,67,Morocco,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2.69,34,34,0,0,0,-1,-1,-1,24
Botuli Padou Bompunga,28,696729600,Botola Pro,2019/2020,Defender,Mouloudia Oujda,918,285,633,Congo DR,12,3,8,0,0,0,0,0,0,0,0,4,3,1,7,1,6,1,0,0,0,0,0,0,0,0.69,131,77,918,0,0.1,263,239,38,26
Brahim Dahmoun,24,831250800,Botola Pro,2019/2020,Midfielder,FAR Rabat,33,33,0,France,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.73,33,33,0,0,0,-1,-1,-1,9
Brahim El Bahraoui,28,712450800,Botola Pro,2019/2020,Forward,Rapide Oued Zem,1126,614,512,Morocco,17,7,6,5,4,1,0,0,0,0,0,7,4,3,7,3,4,2,0,0.4,0,0.4,0.59,0.18,225,0.56,161,66,563,0,0.16,16,250,-1,1
Brahim El Bahri,34,512179200,Botola Pro,2019/2020,Midfielder,CR Khemis Zemamra,1288,507,781,Morocco,16,5,9,6,3,3,0,0,0,0,0,3,3,0,14,4,10,0,0,0.42,0,0.42,0.53,0.35,215,0.98,92,81,0,0,0,14,312,-1,2
Brahim Najmeddine,27,726192000,Botola Pro,2019/2020,Defender,Wydad Casablanca,210,89,121,Morocco,4,1,1,1,1,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0.43,0,0.43,1.01,0,210,1.71,53,53,0,0,0,-1,-1,-1,12
Brahim Nakach,38,381456000,Botola Pro,2019/2020,Midfielder,Wydad Casablanca,1182,591,591,Morocco,14,7,7,0,0,0,0,0,0,0,0,3,1,2,12,6,6,4,1,0,0,0,0,0,0,0.91,99,84,296,0,0.3,190,123,-1,27
Carlos Manuel Santos Fortes,25,784339200,Botola Pro,2019/2020,Forward,Ittihad Tanger,522,270,252,Portugal,7,3,2,0,0,0,0,0,0,0,0,1,1,0,6,3,3,0,0,0,0,0,0,0,0,1.03,87,75,0,0,0,173,108,-1,30
Carof Bakoua,26,747529200,Botola Pro,2019/2020,Midfielder,Khouribga,720,270,450,Congo,8,3,5,0,0,0,0,0,0,0,0,2,2,0,10,1,9,0,0,0,0,0,0,0,0,1.25,72,90,0,0,0,174,100,-1,10
Charaf Eddine Rhourdmani,23,865638000,Botola Pro,2019/2020,Midfielder,Olympic Safi,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Cheick Comara,26,750553200,Botola Pro,2019/2020,Defender,Wydad Casablanca,749,380,369,Côte d'Ivoire,10,5,5,2,2,0,0,0,0,0,0,3,1,2,8,4,4,2,0,0.24,0,0.24,0.47,0,375,0.96,94,75,375,0,0.24,44,127,74,8
Chouaib El Maftoul,25,784425600,Botola Pro,2019/2020,Defender,Difaâ El Jadida,1344,839,505,Morocco,16,10,6,2,1,1,0,0,0,0,0,6,5,1,9,4,5,3,0,0.13,0,0.13,0.11,0.18,672,0.6,149,84,448,0,0.2,80,75,21,2
Claudio Antonio do Nascimento Junior,29,674348400,Botola Pro,2019/2020,Midfielder,Olympic Safi,180,90,90,Brazil,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.5,180,90,0,0,0,-1,-1,-1,20
Claudio Rafael Nascimento Santos,27,734828400,Botola Pro,2019/2020,Defender,Olympic Safi,1530,900,630,Brazil,17,10,7,0,0,0,0,0,0,0,0,8,7,1,13,6,7,4,0,0,0,0,0,0,0,0.76,118,90,383,0,0.24,134,34,50,14
Dago Tshibamba Samu,22,873241200,Botola Pro,2019/2020,Midfielder,Khouribga,674,270,404,Congo DR,8,3,4,1,1,0,0,0,0,0,0,2,2,0,9,1,8,0,0,0.13,0,0.13,0.33,0,674,1.2,75,84,0,0,0,82,107,-1,4
Diallo Guidileye,30,630979200,Botola Pro,2019/2020,Midfielder,FUS Rabat,334,180,154,Mauritania,4,2,2,0,0,0,0,0,0,0,0,1,1,0,4,1,3,1,0,0,0,0,0,0,0,1.08,84,84,334,0,0.27,247,195,-1,22
Djibril Cheick Ouattara,20,937695600,Botola Pro,2019/2020,Forward,RSB Berkane,89,44,45,Burkina Faso,4,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,22,45,0,2.02,-1,-1,-1,11
Driss Bennani,28,705020400,Botola Pro,2019/2020,Midfielder,Hassania Agadir,394,227,167,Morocco,9,3,2,0,0,0,0,0,0,0,0,2,1,1,5,2,3,0,0,0,0,0,0,0,0,1.14,79,44,0,0,0,269,43,-1,20
Driss Bousbaa,0,0,Botola Pro,2019/2020,Midfielder,FUS Rabat,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Driss El Abdi,27,731721600,Botola Pro,2019/2020,Defender,Khouribga,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Edilson Alberto Monteiro Sanches Borges,25,790300800,Botola Pro,2019/2020,Defender,FAR Rabat,1362,822,540,Portugal,16,10,6,0,0,0,0,0,0,0,0,4,3,1,13,7,6,5,1,0,0,0,0,0,0,0.86,105,85,227,0,0.4,140,37,61,14
El Habib Brija,0,0,Botola Pro,2019/2020,Midfielder,Mouloudia Oujda,4,0,4,Morocco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1,-1,-1,27
El Mehdi El Bassil,32,566438400,Botola Pro,2019/2020,Forward,FUS Rabat,1693,720,973,Morocco,19,8,11,1,0,1,0,0,0,0,0,7,3,4,11,5,6,7,1,0.05,0,0.05,0,0.09,1693,0.58,154,89,242,0,0.37,124,190,-1,9
El Mehdi El Haki,28,713055600,Botola Pro,2019/2020,Midfielder,Khouribga,460,246,214,Morocco,9,3,2,0,0,0,0,0,0,0,0,2,2,0,8,5,3,0,0,0,0,0,0,0,0,1.57,58,51,0,0,0,271,229,-1,23
El Mehdi Karnass,30,637200000,Botola Pro,2019/2020,Midfielder,Difaâ El Jadida,1085,652,433,Morocco,13,7,5,2,1,1,0,0,0,2,0,5,5,0,8,2,6,6,0,0.17,0,0.17,0.14,0.21,543,0.66,136,83,181,0,0.5,59,63,-1,3
El Mehdi Moubarik,19,978825600,Botola Pro,2019/2020,Midfielder,FUS Rabat,0,0,0,Morocco,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Elhadji Youssoupha Konaté,26,768178800,Botola Pro,2019/2020,Defender,Ittihad Tanger,1223,683,540,Senegal,14,7,6,2,0,2,0,0,0,0,0,5,4,1,17,8,9,0,0,0.15,0,0.15,0,0.33,612,1.25,72,87,0,0,0,74,59,99,1
Elmutasem Abushnaf,28,690076800,Botola Pro,2019/2020,Forward,Rapide Oued Zem,72,42,30,Libya,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,-1,-1,-1,8
Emeka Ogbugh,30,635644800,Botola Pro,2019/2020,Forward,Mouloudia Oujda,251,104,147,Nigeria,6,1,2,2,2,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0.72,0,0.72,1.73,0,126,0.72,126,42,0,0,0,-1,-1,-1,4
Ennaama El Bellali,22,887673600,Botola Pro,2019/2020,Defender,Hassania Agadir,799,360,439,Morocco,10,4,5,0,0,0,0,0,0,0,0,0,0,0,15,6,9,1,0,0,0,0,0,0,0,1.69,53,80,799,0,0.11,270,58,125,18
Essis Beaudeleire Aka,30,631929600,Botola Pro,2019/2020,Midfielder,FAR Rabat,358,207,151,Côte d'Ivoire,6,3,2,0,0,0,0,0,0,0,0,2,2,0,3,1,2,2,0,0,0,0,0,0,0,0.75,119,60,179,0,0.5,172,110,-1,11
Ettayb Boukhriss,20,936313200,Botola Pro,2019/2020,Defender,Difaâ El Jadida,252,162,90,Morocco,3,2,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,-1,-1,-1,23
Fabrice Gael Ngah,22,876956400,Botola Pro,2019/2020,Defender,Raja Casablanca,632,362,270,Cameroon,8,4,3,0,0,0,0,0,0,0,0,4,3,1,5,2,3,2,0,0,0,0,0,0,0,0.71,126,79,316,0,0.28,144,24,45,27
Fabrice Luamba Ngoma,26,759196800,Botola Pro,2019/2020,Midfielder,Raja Casablanca,631,180,451,Congo DR,8,2,5,0,0,0,0,0,0,0,0,3,2,1,7,0,7,0,0,0,0,0,0,0,0,1,90,79,0,0,0,131,40,-1,24
Fahd El Ahmadi,40,321753600,Botola Pro,2019/2020,Goalkeeper,Hassania Agadir,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Faouzi Abd El Mouttalib,0,0,Botola Pro,2019/2020,Midfielder,Ittihad Tanger,284,82,202,Morocco,6,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0.95,95,47,0,0,0,207,99,-1,11
Fayssal El Bakhtaoui,27,721180800,Botola Pro,2019/2020,Forward,Difaâ El Jadida,256,104,152,Morocco,5,1,2,0,0,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0,0,0,0,0,0,1.05,85,51,0,0,0,-1,-1,-1,26
Gabriel Okechukwu,24,809564400,Botola Pro,2019/2020,Forward,Wydad Casablanca,17,17,0,Nigeria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,-1,-1,-1,23
Habib Allah Dahmani,26,750726000,Botola Pro,2019/2020,Midfielder,Raja Beni Mellal,211,121,90,Morocco,4,1,1,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0.85,106,53,0,0,0,-1,-1,-1,12
Haitam El Bahja,26,756604800,Botola Pro,2019/2020,Midfielder,Wydad Casablanca,75,1,74,Morocco,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3.6,25,25,0,0,0,-1,-1,-1,20
Hamdi Laachir,33,550537200,Botola Pro,2019/2020,Forward,RSB Berkane,1352,815,537,Morocco,17,9,6,2,2,0,0,0,0,0,0,8,3,5,10,6,4,3,0,0.13,0,0.13,0.22,0,676,0.67,135,80,451,0,0.2,85,4,-1,3
Hamid Ahadad,25,786153600,Botola Pro,2019/2020,Forward,Raja Casablanca,977,514,463,Morocco,14,6,5,7,5,2,0,0,0,0,0,8,4,4,5,2,3,2,0,0.64,0,0.64,0.88,0.39,140,0.46,195,70,489,0,0.18,3,144,-1,1
Hamid Boukhriss,28,701308800,Botola Pro,2019/2020,Midfielder,Olympic Safi,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Hamza Ait Allah,0,0,Botola Pro,2019/2020,Midfielder,Rapide Oued Zem,9,9,0,Morocco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,9,9,0,0,0,-1,-1,-1,12
Hamza Asrir,0,0,Botola Pro,2019/2020,Midfielder,Wydad Casablanca,1067,536,531,Morocco,13,6,5,0,0,0,0,0,0,0,0,3,1,2,10,5,5,1,0,0,0,0,0,0,0,0.84,107,82,1067,0,0.08,195,149,-1,21
Hamza Bouftini,0,0,Botola Pro,2019/2020,Midfielder,CR Khemis Zemamra,178,17,161,Morocco,3,0,2,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0,0,0,0,0,0,0,0,1.52,59,59,0,0,0,-1,-1,-1,15
Hamza Darai,0,0,Botola Pro,2019/2020,Forward,Difaâ El Jadida,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Hamza El Madani,28,683074800,Botola Pro,2019/2020,Defender,CR Khemis Zemamra,1154,618,536,Morocco,17,7,6,0,0,0,0,0,0,0,0,3,3,0,16,7,9,3,0,0,0,0,0,0,0,1.25,72,68,385,0,0.23,141,36,98,19
Hamza El Moussaoui,27,734137200,Botola Pro,2019/2020,Defender,Moghreb Tétouan,1246,572,674,Morocco,15,6,7,0,0,0,0,0,0,0,0,6,6,0,11,1,10,1,0,0,0,0,0,0,0,0.79,113,83,1246,0,0.07,212,223,55,27
Hamza Goudali,23,868230000,Botola Pro,2019/2020,Forward,FAR Rabat,215,172,43,Morocco,9,2,0,0,0,0,0,0,0,0,0,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0.42,215,24,0,0,0,-1,-1,-1,19
Hamza Hajji,34,508032000,Botola Pro,2019/2020,Defender,Moghreb Tétouan,373,188,185,Morocco,6,2,2,0,0,0,0,0,0,0,0,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0.97,93,62,0,0,0,234,225,75,29
Hamza Hamiani Akbi,26,761616000,Botola Pro,2019/2020,Goalkeeper,RSB Berkane,90,0,90,Morocco,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,16
Hamza Hannouri,22,885427200,Botola Pro,2019/2020,Midfielder,Difaâ El Jadida,0,0,0,Morocco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Hamza Kalai,26,757296000,Botola Pro,2019/2020,Midfielder,Khouribga,804,409,395,Morocco,13,4,4,0,0,0,0,0,0,0,0,3,2,1,18,7,11,0,0,0,0,0,0,0,0,2.01,45,62,0,0,0,169,92,-1,14
Hamza Khaba,24,834274800,Botola Pro,2019/2020,Forward,Olympic Safi,1437,723,714,Morocco,19,8,9,4,4,0,0,0,0,2,0,8,6,2,14,7,7,4,0,0.25,0,0.25,0.5,0,359,0.88,103,76,359,0,0.25,39,207,-1,2
Hamza Moujahid,25,791596800,Botola Pro,2019/2020,Midfielder,FAR Rabat,1478,866,612,Morocco,17,10,7,1,1,0,0,0,0,0,0,5,4,1,13,6,7,5,1,0.06,0,0.06,0.1,0,1478,0.79,114,87,296,0,0.3,116,166,-1,6
Hamza Moussadak,26,765846000,Botola Pro,2019/2020,Midfielder,Youssoufia Berrechid,134,0,134,Morocco,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2.69,34,67,0,0,0,-1,-1,-1,16
Hamza Regragui,23,866156400,Botola Pro,2019/2020,Defender,RSB Berkane,360,180,180,Morocco,4,2,2,1,1,0,0,0,0,0,0,3,1,2,1,1,0,1,0,0.25,0,0.25,0.5,0,360,0.25,360,90,360,0,0.25,40,3,4,5
Hamza Semmoumy,27,721612800,Botola Pro,2019/2020,Defender,FUS Rabat,302,108,194,Morocco,6,1,2,0,0,0,0,0,0,0,0,1,0,1,5,2,3,0,0,0,0,0,0,0,0,1.49,60,50,0,0,0,253,185,117,18
Hamza Smouni,0,0,Botola Pro,2019/2020,Goalkeeper,Khouribga,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Hamza Toumi,0,0,Botola Pro,2019/2020,Midfielder,Raja Beni Mellal,180,0,180,Morocco,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,18
Hatim El Ouahabi,20,938905200,Botola Pro,2019/2020,Defender,Ittihad Tanger,686,237,449,Morocco,8,3,5,0,0,0,0,0,0,0,0,2,1,1,10,5,5,0,0,0,0,0,0,0,0,1.31,69,86,0,0,0,257,181,105,29
Hatim Essaoubi,0,0,Botola Pro,2019/2020,Forward,FAR Rabat,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Haytam Aina,33,554598000,Botola Pro,2019/2020,Midfielder,Youssoufia Berrechid,1574,854,720,Morocco,18,9,8,0,0,0,0,0,0,0,0,3,2,1,26,14,12,5,0,0,0,0,0,0,0,1.49,61,87,315,0,0.29,215,285,-1,24
Héritier Luvumbu Nzinga,26,774918000,Botola Pro,2019/2020,Midfielder,Youssoufia Berrechid,551,329,222,Congo DR,9,4,3,0,0,0,0,0,0,0,0,2,1,1,11,5,6,1,0,0,0,0,0,0,0,1.8,50,61,551,0,0.16,218,296,-1,22
Hicham Baaouch,0,0,Botola Pro,2019/2020,Midfielder,Raja Beni Mellal,676,385,291,Morocco,10,5,3,0,0,0,0,0,0,0,0,3,2,1,9,5,4,3,0,0,0,0,0,0,0,1.2,75,68,225,0,0.4,146,31,-1,7
Hicham El Araoui,30,632016000,Botola Pro,2019/2020,Midfielder,Rapide Oued Zem,1107,584,523,Morocco,14,7,6,2,2,0,0,0,0,0,0,6,3,3,10,4,6,5,1,0.16,0,0.16,0.31,0,554,0.81,111,79,221,0,0.41,72,62,-1,3
Hicham El Majhad,29,671151600,Botola Pro,2019/2020,Goalkeeper,Ittihad Tanger,1530,720,810,Morocco,17,8,9,0,0,0,0,0,0,0,0,5,4,1,23,8,15,1,0,0,0,0,0,0,0,1.35,67,90,1530,0,0.06,255,183,109,6
Hicham Islah,0,0,Botola Pro,2019/2020,Midfielder,Raja Casablanca,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Hicham Marchad,28,705020400,Botola Pro,2019/2020,Midfielder,CR Khemis Zemamra,1260,644,616,Morocco,22,7,8,1,1,0,0,0,0,0,0,3,3,0,18,9,9,4,0,0.07,0,0.07,0.14,0,1260,1.29,70,57,315,0,0.29,115,299,-1,9
Hicham Massaki,0,0,Botola Pro,2019/2020,Forward,Difaâ El Jadida,163,150,13,Morocco,6,1,0,1,1,0,0,0,0,0,0,2,2,0,1,1,0,2,0,0.55,0,0.55,0.6,0,163,0.55,163,27,82,0,1.1,-1,-1,-1,7
Hicham Taik,33,532137600,Botola Pro,2019/2020,Defender,Youssoufia Berrechid,1306,810,496,Morocco,16,9,5,0,0,0,0,0,0,0,0,3,2,1,23,13,10,4,0,0,0,0,0,0,0,1.58,57,82,327,0,0.28,213,289,120,25
Hilal Ferdaoussi,21,930092400,Botola Pro,2019/2020,Midfielder,Moghreb Tétouan,181,129,52,Morocco,6,1,0,0,0,0,0,0,0,0,0,3,3,0,2,0,2,0,0,0,0,0,0,0,0,0.99,91,30,0,0,0,-1,-1,-1,23
Houdaifa El Mahasni,20,942451200,Botola Pro,2019/2020,Defender,Moghreb Tétouan,93,87,6,Morocco,4,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0.97,93,23,0,0,0,-1,-1,-1,15
Houssam Amaanan,26,768697200,Botola Pro,2019/2020,Midfielder,Difaâ El Jadida,960,430,530,Morocco,14,5,6,1,0,1,0,0,0,0,0,6,5,1,7,1,6,2,0,0.09,0,0.09,0,0.17,960,0.66,137,69,480,0,0.19,102,73,-1,5
Houssine Chadli,29,670460400,Botola Pro,2019/2020,Goalkeeper,Youssoufia Berrechid,1710,900,810,Morocco,19,10,9,0,0,0,0,0,0,0,0,3,2,1,28,14,14,1,0,0,0,0,0,0,0,1.47,61,90,1710,0,0.05,224,291,116,21
Houssine Khoukhouche,27,741913200,Botola Pro,2019/2020,Midfielder,Mouloudia Oujda,89,14,75,Morocco,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,-1,-1,-1,16
Ibrahim Bezghoudi,37,423788400,Botola Pro,2019/2020,Midfielder,Ittihad Tanger,500,149,351,Morocco,14,0,3,0,0,0,0,0,0,0,0,1,1,0,9,2,7,1,0,0,0,0,0,0,0,1.62,56,36,500,0,0.18,217,280,-1,18
Ilias Haddad,31,604713600,Botola Pro,2019/2020,Midfielder,Raja Casablanca,528,270,258,Netherlands,7,3,2,0,0,0,0,0,0,0,0,1,0,1,7,4,3,1,0,0,0,0,0,0,0,1.19,75,75,528,0,0.17,155,131,-1,18
Ilyas El Azzaoui,0,0,Botola Pro,2019/2020,Midfielder,Raja Beni Mellal,5,0,5,Morocco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,-1,-1,-1,31
Imad Ahmout,29,678495600,Botola Pro,2019/2020,Midfielder,Raja Beni Mellal,155,92,63,Morocco,3,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,2.32,39,52,0,0,0,-1,-1,-1,16
Imad Atfallah,0,0,Botola Pro,2019/2020,Defender,CR Khemis Zemamra,1710,810,900,Morocco,19,9,10,1,0,1,0,0,0,0,0,3,3,0,25,10,15,2,0,0.05,0,0.05,0,0.1,1710,1.32,68,90,855,0,0.11,123,314,106,12
Imad Errahouli,26,757382400,Botola Pro,2019/2020,Midfielder,FAR Rabat,787,484,303,Morocco,16,4,3,3,3,0,0,0,0,0,0,4,3,1,6,4,2,1,0,0.34,0,0.34,0.56,0,262,0.69,131,49,787,0,0.11,24,10,-1,3
Imad Kimaoui,24,832028400,Botola Pro,2019/2020,Midfielder,Hassania Agadir,1057,475,582,Morocco,16,5,7,1,1,0,0,0,0,0,0,3,2,1,13,3,10,4,0,0.09,0,0.09,0.19,0,1057,1.11,81,66,264,0,0.34,98,42,-1,5
Imad Qandil,0,0,Botola Pro,2019/2020,Forward,Raja Beni Mellal,258,144,114,Morocco,4,2,2,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,65,258,0,0.35,-1,-1,-1,9
Imad Riahi,0,0,Botola Pro,2019/2020,Midfielder,CR Khemis Zemamra,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ismail El Haddad,30,649638000,Botola Pro,2019/2020,Forward,Wydad Casablanca,632,284,348,Morocco,8,3,4,2,1,1,0,0,0,0,0,3,1,2,6,3,3,1,0,0.28,0,0.28,0.32,0.26,316,0.85,105,79,632,0,0.14,34,138,-1,6
Ismail Gourad,0,0,Botola Pro,2019/2020,Midfielder,Moghreb Tétouan,65,11,54,Morocco,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1.38,65,22,65,0,1.38,-1,-1,-1,14
Ismail Harrach,31,596592000,Botola Pro,2019/2020,Forward,Khouribga,565,171,394,Morocco,10,2,6,1,0,1,0,0,0,0,0,3,1,2,5,2,3,0,0,0.16,0,0.16,0,0.23,565,0.8,113,57,0,0,0,69,230,-1,7
Ismail Jahour,29,679446000,Botola Pro,2019/2020,Defender,Raja Beni Mellal,180,180,0,Morocco,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,8
Ismail Khafi,0,0,Botola Pro,2019/2020,Forward,Mouloudia Oujda,1210,515,695,Morocco,15,6,8,7,3,4,0,0,0,1,0,5,2,3,9,4,5,4,0,0.52,0,0.52,0.52,0.52,173,0.67,134,81,303,0,0.3,8,256,-1,2
Ismail Lagrayei,21,922579200,Botola Pro,2019/2020,Forward,Raja Casablanca,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ismail Mokadem,25,806713200,Botola Pro,2019/2020,Defender,RSB Berkane,1060,544,516,Morocco,13,6,6,0,0,0,0,0,0,0,0,7,3,4,8,3,5,5,1,0,0,0,0,0,0,0.68,133,82,212,0,0.42,286,13,36,23
